Saudi.Arabia.Exports..Thousand.Barrels.Day.,Saudi.Arabia.Production..Thousand.Barrels.Day.,China.Import..Thousand.Barrels.Day.,India.Import..Thousand.Barrels.Day.,US.Import..Thousand.Barrels.Day.,Japan.Import..Thousand.Barrels.Day.,Korea.Import..Thousand.Barrels.Day.,GeoPol.Rating.x,Open..USD.,Volume,U.S..Imports.from.Saudi.Arabia..Thousand.Barrels.Day.,Saudi.Armco.Stock.Price..Riyal.,China..,India..,Saudi..,US..,OECD..,GeoPol.Rating.y,world.production,world.consumption,Predicted,Time,Data_Type
6949,9912,10196.76,4513.8793,6333.6667,2886.829,2678.7493,6.666667,83.36,10364108,509,31.32,4.3,4.54086,2.382212793,5.717100091,5.363778979,6.75,98.34,99.36,9571.785824598563,2021-11-01,Actual
6937,10022,10894.9935,4671.1535,6421.5484,2755.9045,2752.5761,5,67.01,7853281,472,28.72,4.3,4.54086,2.382212793,5.717100091,5.363778979,6.75,98.34,99.36,10020.232648482428,2021-12-01,Actual
6996,10145,10015.1768,4577.721,6383,2742.1155,3006.7223,6,75.69,8385229,485,29.55,4.8,3.6329,2.722177061,3.683678958,4.617787828,6.615385,98.96,98.46,9645.26690603355,2022-01-01,Actual
7307,10225,11169.7971,4630.4657,6154.4643,2857.1911,2831.6593,6,88.15,9108602,443,30.95,4.8,3.6329,2.722177061,3.683678958,4.617787828,6.615385,98.96,98.46,9908.359190653244,2022-02-01,Actual
7235,10300,10085.071,4524.4668,6415.5806,2900.4516,2711.4468,7.333333,96.09,9128833,504,34.3,4.8,3.6329,2.722177061,3.683678958,4.617787828,6.615385,98.96,98.46,10189.178942196602,2022-03-01,Actual
7382,10441,10499.32,5128.2917,6059,2921.9593,2766.4523,7.714286,101.23,5669971,413,35.41,0.4,13.10546,1.093510707,1.796042498,3.301102327,6.04,98.86,98.6,10339.999670580455,2022-04-01,Actual
7050,10538,10819.4323,4651.6587,6162.9032,2452.0703,2487.4939,5.230769,106.37,2211109,412,37.11,0.4,13.10546,1.093510707,1.796042498,3.301102327,6.04,98.86,98.6,10189.888035218424,2022-05-01,Actual
7196,10646,8739.836,4718.274,6473.1667,2146.3897,2448.314,5.8,115.4,6646137,619,38.05,0.4,13.10546,1.093510707,1.796042498,3.301102327,6.04,98.86,98.6,10153.008679809143,2022-06-01,Actual
7384,10815,8814.2245,4836.1465,6603.8387,2602.3232,3111.5665,5,106.01,6442224,458,35.32,3.9,5.51228,1.232127591,1.942138388,2.568634667,5.76,100.85,100.08,10196.540514743885,2022-07-01,Actual
7601,11051,9528.751,4172.1332,6330.0645,3158.8771,3011.4771,7,98.46,6941741,384,36.14,3.9,5.51228,1.232127591,1.942138388,2.568634667,5.76,100.85,100.08,10374.76433701612,2022-08-01,Actual
7721,11041,9819.048,4043.182,6268.2667,2969.8643,2720.267,5.111111,88.83,6058680,396,34.09,3.9,5.51228,1.232127591,1.942138388,2.568634667,5.76,100.85,100.08,10555.125230647483,2022-09-01,Actual
7773,10957,10186.6065,4266.7545,6237,2361.2529,2565.4732,9.125,81.02,5645391,414,32.55,2.9,4.63865,1.307597966,0.881277641,1.382785377,9.125,101.09,99.48,10423.16303119181,2022-10-01,Actual
7280,10468,11404.56,4644.0827,6243.0667,2843.8373,2764.9783,7,86.43,6418409,440,31.82,2.9,4.63865,1.307597966,0.881277641,1.382785377,9.125,101.09,99.48,10294.961429667688,2022-11-01,Actual
7437,10435,11349.5419,4640.2471,5990.129,2774.2106,2680.3026,6,80.4,5673808,500,30.18,2.9,4.63865,1.307597966,0.881277641,1.382785377,9.125,101.09,99.48,9910.383635753366,2022-12-01,Actual
7658,10453,9928.0452,4744.3781,6309.9032,2682.9177,2633.2297,4.6,81.27,4380314,427,29.23,4.5,6.27858,-1.438256498,1.800192812,1.610116602,5.153846,101,99.84,9772.979800670844,2023-01-01,Actual
7455,10450,10984.9671,5024.2343,6596.0357,2808.2332,3095.1368,5.4,79.06,6069523,388,29.77,4.5,6.27858,-1.438256498,1.800192812,1.610116602,5.153846,101,99.84,9538.229628397621,2023-02-01,Actual
7523,10464,12351.4374,4928.1526,6325.3548,2648.6829,2950.3774,5.666667,76.85,7758732,427,28.91,4.5,6.27858,-1.438256498,1.800192812,1.610116602,5.153846,101,99.84,9240.200769013656,2023-03-01,Actual
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9795.724746598595,2023-04-01,Forecast
