Date,Open,High,Low,Close*,Adj. close**,Volume
28-Dec-22,84.6,87.02,81.3,82.1,82.1,"72,917"
21-Dec-22,79.95,85.67,79.6,84.33,84.33,"50,014"
14-Dec-22,80.34,83.19,78.28,79.99,79.99,"117,561"
7-Dec-22,79.79,81.28,75.11,80.68,80.68,"137,601"
30-Nov-22,83.58,89.41,78.71,79.35,79.35,"122,114"
23-Nov-22,88.41,89.54,80.64,83.03,83.03,"63,857"
16-Nov-22,93.76,94.78,82.32,88.36,88.36,"149,619"
9-Nov-22,95.01,96.92,91.53,93.86,93.86,"135,707"
2-Nov-22,94.67,99.56,93.99,95.36,95.36,"132,706"
26-Oct-22,93.25,97.28,92.04,94.65,94.65,"86,900"
19-Oct-22,90.79,94.77,89.38,93.52,93.52,"161,600"
12-Oct-22,93.69,95.17,88.77,90.03,90.03,"156,715"
5-Oct-22,91.65,98.76,90.9,94.29,94.29,"158,764"
28-Sep-22,85.83,92.39,84.27,91.8,91.8,"127,641"
21-Sep-22,90.69,93.51,83.63,86.27,86.27,"92,989"
14-Sep-22,93.49,95.81,88.48,90.62,90.62,"123,330"
7-Sep-22,92.8,95.51,87.23,93.17,93.17,"123,496"
31-Aug-22,99.71,100.3,91.81,92.83,92.83,"105,168"
24-Aug-22,100.16,105.48,97.67,99.31,99.31,"72,599"
17-Aug-22,92.77,100.45,91.52,100.22,100.22,"114,148"
10-Aug-22,96.46,100.35,91.72,92.34,92.34,"113,836"
3-Aug-22,99.64,102.37,92.75,96.31,96.31,"97,691"
27-Jul-22,104.78,110.43,98.47,100.54,100.54,"85,358"
20-Jul-22,107.15,107.43,101.52,104.4,104.4,"103,414"
13-Jul-22,99.31,107.6,94.5,107.35,107.35,"111,136"
6-Jul-22,104,107.66,98.47,99.49,99.49,"112,785"
29-Jun-22,117.96,120.38,101.11,102.77,102.77,"89,525"
22-Jun-22,114.57,118.24,107.03,117.98,117.98,"86,274"
15-Jun-22,121,121.85,111.57,114.65,114.65,"122,929"
8-Jun-22,121.03,125.18,118.94,121.17,121.17,"117,660"
1-Jun-22,116.63,121.89,112.48,120.57,120.57,"91,702"
25-May-22,113.92,124.13,113.04,122.84,122.84,"29,997"
18-May-22,112.89,114.63,105.7,113.56,113.56,"105,858"
11-May-22,101.7,115.66,100.93,111.93,111.93,"127,772"
4-May-22,106.1,113.99,101.7,102.46,102.46,"125,541"
27-Apr-22,105.37,109.77,103.27,104.97,104.97,"63,702"
20-Apr-22,107.72,109.79,99.47,104.99,104.99,"68,971"
13-Apr-22,104.98,114.82,104.07,107.25,107.25,"71,837"
6-Apr-22,105.79,108.66,97.62,104.64,104.64,"103,073"
30-Mar-22,111,114.65,102.91,106.64,106.64,"55,666"
23-Mar-22,114.74,123.7,104.98,110.23,110.23,"63,454"
16-Mar-22,99.04,119.42,96.95,115.48,115.48,"69,936"
9-Mar-22,129.57,131.63,97.5,99.91,99.91,"137,404"
2-Mar-22,107.54,137,106.49,127.98,127.98,"199,539"
23-Feb-22,96.63,105.75,95.8,100.85,100.85,"118,732"
16-Feb-22,93.59,99.44,90.26,96.84,96.84,"228,010"
9-Feb-22,91.27,96.78,90.06,93.28,93.28,"224,669"
2-Feb-22,89.29,93.99,88.01,90.78,90.78,"180,892"
26-Jan-22,88.02,91.69,87.8,91.29,91.29,"92,196"
19-Jan-22,88.45,89.51,85.02,88.2,88.2,"161,322"
12-Jan-22,83.69,88.55,83.51,87.51,87.51,"169,220"
5-Jan-22,80.08,83.97,79.55,83.72,83.72,"174,204"
29-Dec-21,79,80.55,77.04,80,80,"87,818"
22-Dec-21,74.04,79.85,73.59,78.94,78.94,"80,411"
15-Dec-21,73.26,75.59,69.26,73.98,73.98,"146,574"
8-Dec-21,75.27,76.7,72.57,73.7,73.7,"142,276"
1-Dec-21,70.14,76.26,65.77,75.44,75.44,"248,346"
24-Nov-21,82.2,83,70.22,70.57,70.57,"180,986"
17-Nov-21,82.33,82.59,77.54,82.31,82.31,"193,658"
10-Nov-21,85.16,85.5,80.68,82.43,82.43,"153,173"
3-Nov-21,84.04,85.14,80.19,84.78,84.78,"228,469"
27-Oct-21,86.13,86.27,82.31,84.72,84.72,"147,724"
20-Oct-21,85.1,86.72,83.36,86.4,86.4,"208,388"
13-Oct-21,83.16,86.03,82.21,85.08,85.08,"195,280"
6-Oct-21,82.66,84.6,79.08,83.42,83.42,"227,515"
29-Sep-21,78.25,83.11,77.53,82.56,82.56,"178,817"
