Date,Headline,Link,Rating
18/4/22,MENAFN: Saudi oil exports hit highest level in almost 2 years,https://menafn.com/1104043779/Saudi-oil-exports-hit-highest-level-in-almost-2-years,9
18/4/22,OilPrice.com: Saudi Crude Oil Exports Jump To Highest Level Since April 2020,https://oilprice.com/Energy/Crude-Oil/Saudi-Crude-Oil-Exports-Jump-To-Highest-Level-Since-April-2020.html,9
18/4/22,S&amp;P Global: SAUDI DATA: February crude oil exports rose closer to record,https://www.spglobal.com/commodityinsights/en/market-insights/latest-news/oil/041822-saudi-data-february-crude-oil-exports-rose-closer-to-record,8
11/4/22,"GECF: GECF, IEF discuss expanding cooperation",https://www.gecf.org/events/gecf-ief-discuss-expanding-cooperation,7
29/3/22,Atlantic Council: How Europe can work its way out of today’s energy-supply crisis—and through the energy transition,https://www.atlanticcouncil.org/news/transcripts/how-europe-can-work-its-way-out-of-todays-energy-supply-crisis-and-through-the-energy-transition/,7
21/3/22,Arab News: Saudi crude exports in January hit the highest since April 2020,https://www.arabnews.com/node/2045696/business-economy,9
19/3/22,The Economy Club: Saudi Arabia’s crude oil exports near 7 million bpd in January,https://theeconomyclub.com/saudi-arabias-crude-oil-exports-near-7-million-bpd-in-january-jodi/,8
18/3/22,TNG News: Saudi oil exports rise to 7 million barrels in January,https://thenewsglory.com/saudi-oil-exports-rise-to-7-million-barrels-in-january/,8
18/3/22,"S&amp;P Global: Saudi crude supplies to market at pre-pandemic levels, as exports, refinery runs increase",https://www.spglobal.com/commodity-insights/en/market-insights/latest-news/oil/031822-saudi-crude-supplies-to-market-at-pre-pandemic-levels-as-exports-refinery-runs-increase,8
18/3/22,Bloomberg: How Russia’s War in Ukraine Is Choking the World’s Supply of Natural Resources,https://www.bloomberg.com/graphics/2022-russia-commodities-shortage/,4
9/2/22,Vortexa: How much further will global crude inventories fall?,https://www.vortexa.com/insight/how-much-further-will-global-crude-inventories-fall,6
31/1/22,S&amp;P Global Platts: Crude reaches new 7-year highs as market eyes tightening supply outlooks,https://www.spglobal.com/platts/en/market-insights/latest-news/oil/013122-oil-futures-crude-reaches-new-7-year-highs-as-market-eyes-tightening-supply-outlooks,8
26/1/22,OilPrice.com: Has The Oil Market Flipped Into Surplus Territory?,https://oilprice.com/Energy/Crude-Oil/Has-The-Oil-Market-Flipped-Into-Surplus-Territory.html,4
21/1/22,S&amp;P Global Platts: European oil refineries exposed as fears of Russia invading Ukraine grow,https://www.spglobal.com/platts/en/market-insights/latest-news/oil/012122-european-oil-refineries-exposed-as-fears-of-russia-invading-ukraine-grow,3
20/1/22,Prime: Russia in November remained in second place in oil production in the world,https://1prime.ru/oil/20220120/835834722.html,5
20/1/22,"Arab News: Saudi oil exports and production continue to rise, highest since April 2020: JODI",https://www.arabnews.com/node/2008521/business-economy,9
12/1/22,Reuters: Several Asian refiners to receive full Saudi crude allocation in February -sources,https://www.reuters.com/business/energy/least-two-nasian-refiners-receive-full-saudi-crude-allocation-february-sources-2022-01-11/,7
29/12/21,Argus: Viewpoint: Middle East HSFO supplies set to rise,https://www.argusmedia.com/en/news/2287300-viewpoint-middle-east-hsfo-supplies-set-to-rise,5
25/11/21,Foreign Affairs: MIL-OSI Energy: Second High-Level Meeting of the OPEC-GECF Energy Dialogue takes place,https://foreignaffairs.co.nz/2021/11/25/mil-osi-energy-second-high-level-meeting-of-the-opec-gecf-energy-dialogue-takes-place-2/,7
23/11/21,"tbi Africa: IEF, Japan discuss on energy market volatility and investment crisis",https://tbiafrica.com/2021/11/23/ief-japan-discuss-on-energy-market-volatility-and-investment-crisis/,6
2/11/21,S&amp;P Global Platts: COP26: OPEC's Middle East heavyweights make their case for oil in the energy transition,https://www.spglobal.com/platts/en/market-insights/latest-news/energy-transition/110221-cop26-opecs-middle-east-heavyweights-make-their-case-for-oil-in-the-energy-transition,7
29/10/21,"Hellenic Shipping News: Opec-GECF Meeting Showcases Role Of Natural Gas, Oil For Global Economy",https://www.hellenicshippingnews.com/opec-gecf-meeting-showcases-role-of-natural-gas-oil-for-global-economy/,7
27/10/21,"Daily Asset: Gas Vital in Current, Future Energy Demand, says OPEC-GECF Dialogue",https://dailyasset.ng/gas-vital-in-current-future-energy-demand-says-opec-gecf-dialogue/,7
27/10/21,Zawya: Second high-level meeting of the OPEC-GECF Energy dialogue takes place,https://www.zawya.com/mena/en/press-releases/story/Second_highlevel_meeting_of_the_OPECGECF_Energy_dialogue_takes_place-ZAWYA20211027123937/,7
18/10/21,Arab News: Saudi oil exports reach highest level in seven months,https://www.arabnews.com/node/1950141/business-economy,8
21/9/21,Arab News: Saudi oil income increased even as crude exports dropped in H1 by 20 percent,https://www.arabnews.com/node/1914886/business-economy,6
17/9/21,BOL News: Saudi crude oil exports hit highest level in six months,https://www.bolnews.com/latest/2021/09/saudi-crude-oil-exports-hit-highest-level-in-six-months/,8
16/9/21,Arab News: Saudi crude oil shipments hit highest level in six months,https://www.arabnews.com/node/1929961/business-economy,8
16/9/21,Forbes: Saudi Arabia’s Oil Exports In July Soar To 6.33M Barrels A Day—The Highest Since January,https://www.forbesmiddleeast.com/industry/energy/saudi-arabias-oil-exports-soar-to-633m-barrels-a-day-in-july-highest-since-january,9
16/9/21,OilPrice.com: Saudi Arabia Hikes July Crude Oil Exports To Six-Month High,https://oilprice.com/Energy/Crude-Oil/Saudi-Arabia-Hikes-July-Crude-Oil-Exports-To-Six-Month-High.html,8
16/9/21,S&amp;P Global Platts: SAUDI DATA: July crude oil exports hit six-month high as crude burn stays elevated,https://www.spglobal.com/platts/en/market-insights/latest-news/oil/091621-saudi-data-july-crude-oil-exports-hit-six-month-high-as-crude-burn-stays-elevated,8
10/9/21,Argus: UK's economic growth slows in July,https://www.argusmedia.com/en/news/2252765-uks-economic-growth-slows-in-july,4
20/8/21,ENB: June Saudi oil exports hit Jan 2021 highs,https://www.energynewsbulletin.net/outlook-analysis/news/1416217/june-saudi-oil-exports-hit-jan-2021-highs,7
19/8/21,OilPrice.com: Saudi Arabia Raised June Crude Oil Exports To Five-Month High,https://oilprice.com/Latest-Energy-News/World-News/Saudi-Arabia-Raised-June-Crude-Oil-Exports-To-Five-Month-High.html,7
19/8/21,Arab News: Saudi crude shipments rose in June hit highest in 2021 on signs of global economic recovery,https://www.arabnews.com/node/1913731/business-economy,8
19/8/21,S&amp;P Global Platts: SAUDI DATA: Crude exports for second month in June as output cuts unwind,https://www.spglobal.com/platts/en/market-insights/latest-news/oil/081921-saudi-data-crude-exports-for-second-month-in-june-as-output-cuts-unwind,7
9/8/21,"Argus: US, UK, and Canada fortify Belarus sanctions effort",https://www.argusmedia.com/en/news/2242540-us-uk-and-canada-fortify-belarus-sanctions-effort,5
